teamstatspk;Team;games_played;wins;losses;win_percentage;Min;points;field_goals_made;field_goals_attempted;field_goal_percentage;three_pointers_made;three_pointers_attempted;three_point_percentage;free_throws_made;free_throw_attempted;free_throw_percentage;offensive_rebounds;defensive_rebounds;rebounds;assists;turnovers;steals;blocks;blocks_attempted;personal_fouls;personal_fouls_drawn;plus_minus;season;season_order;Franchise;points_pg;assists_pg;rebounds_pg;three_pa_pg;three_pm_pg
180;Houston Rockets;82;65;17;0,793;3951;9213;3174;6906;46,0;1256;3470;36,2;1609;2061;78,1;739;2825;3564;1767;1135;699;392;363;1597;1670;695;2017-18;2017;Houston Rockets;112,35365853658537;21,548780487804876;43,46341463414634;42,31707317073171;15,317073170731707
181;Toronto Raptors;82;59;23;0,72;3966;9156;3383;7169;47,2;968;2705;35,8;1422;1790;79,4;800;2807;3607;1995;1095;626;500;401;1783;1633;638;2017-18;2017;Toronto Raptors;111,65853658536585;24,329268292682926;43,98780487804878;32,98780487804878;11,804878048780488
182;Golden State Warriors;82;58;24;0,707;3946;9304;3509;6979;50,3;926;2369;39,1;1360;1668;81,5;691;2877;3568;2402;1265;656;612;300;1607;1516;490;2017-18;2017;Golden State Warriors;113,46341463414635;29,29268292682927;43,51219512195122;28,890243902439025;11,292682926829269
183;Boston Celtics;82;55;27;0,671;3961;8529;3141;6975;45,0;939;2492;37,7;1308;1697;77,1;767;2878;3645;1842;1148;604;373;364;1618;1571;294;2017-18;2017;Boston Celtics;104,01219512195122;22,463414634146343;44,451219512195124;30,390243902439025;11,451219512195122
184;Philadelphia 76ers;82;52;30;0,634;3956;9004;3349;7098;47,2;901;2445;36,9;1405;1868;75,2;893;2996;3889;2221;1353;682;420;417;1811;1670;369;2017-18;2017;Philadelphia 76ers;109,8048780487805;27,085365853658537;47,426829268292686;29,817073170731707;10,987804878048781
185;Cleveland Cavaliers;82;50;32;0,61;3946;9091;3311;6950;47,6;981;2636;37,2;1488;1909;77,9;694;2761;3455;1916;1126;582;312;340;1524;1696;77;2017-18;2017;Cleveland Cavaliers;110,86585365853658;23,365853658536587;42,13414634146341;32,146341463414636;11,963414634146341
186;Portland Trail Blazers;82;49;33;0,598;3951;8661;3222;7132;45,2;845;2308;36,6;1372;1715;80,0;835;2893;3728;1599;1109;573;423;418;1599;1564;213;2017-18;2017;Portland Trail Blazers;105,6219512195122;19,5;45,46341463414634;28,146341463414632;10,304878048780488
187;Indiana Pacers;82;48;34;0,585;3951;8656;3345;7083;47,2;741;2010;36,9;1225;1573;77,9;788;2684;3472;1819;1088;721;340;428;1544;1514;113;2017-18;2017;Indiana Pacers;105,5609756097561;22,182926829268293;42,34146341463415;24,51219512195122;9,036585365853659
188;New Orleans Pelicans;82;48;34;0,585;3991;9161;3500;7241;48,3;837;2312;36,2;1324;1716;77,2;712;2923;3635;2195;1223;657;485;344;1570;1669;107;2017-18;2017;New Orleans Pelicans;111,71951219512195;26,76829268292683;44,329268292682926;28,195121951219512;10,207317073170731
189;Oklahoma City Thunder;82;48;34;0,585;3966;8844;3271;7221;45,3;881;2491;35,4;1421;1985;71,6;1024;2671;3695;1750;1147;743;412;377;1653;1750;280;2017-18;2017;Oklahoma City Thunder;107,85365853658537;21,341463414634145;45,0609756097561;30,378048780487806;10,74390243902439
190;Utah Jazz;82;48;34;0,585;3951;8540;3139;6797;46,2;887;2425;36,6;1375;1766;77,9;740;2807;3547;1839;1205;708;420;380;1608;1683;353;2017-18;2017;Utah Jazz;104,14634146341463;22,426829268292682;43,25609756097561;29,573170731707318;10,817073170731707
191;Minnesota Timberwolves;82;47;35;0,573;3961;8980;3365;7063;47,6;658;1845;35,7;1592;1980;80,4;848;2593;3441;1861;1021;689;345;382;1495;1710;183;2017-18;2017;Minnesota Timberwolves;109,51219512195122;22,695121951219512;41,96341463414634;22,5;8,024390243902438
192;San Antonio Spurs;82;47;35;0,573;3946;8424;3202;6999;45,7;696;1977;35,2;1324;1715;77,2;849;2777;3626;1868;1078;628;460;318;1408;1619;237;2017-18;2017;San Antonio Spurs;102,73170731707317;22,78048780487805;44,21951219512195;24,109756097560975;8,487804878048781
193;Denver Nuggets;82;46;36;0,561;3976;9020;3338;7102;47,0;940;2536;37,1;1404;1830;76,7;902;2748;3650;2059;1226;627;404;391;1533;1699;121;2017-18;2017;Denver Nuggets;110,0;25,109756097560975;44,51219512195122;30,926829268292682;11,463414634146341
194;Miami Heat;82;44;38;0,537;3986;8480;3184;6997;45,5;903;2506;36,0;1209;1601;75,5;763;2801;3564;1862;1178;620;437;378;1648;1587;39;2017-18;2017;Miami Heat;103,41463414634147;22,70731707317073;43,46341463414634;30,5609756097561;11,012195121951219
195;Milwaukee Bucks;82;44;38;0,537;3966;8731;3257;6807;47,8;718;2024;35,5;1499;1915;78,3;688;2579;3267;1905;1135;722;443;366;1752;1633;-25;2017-18;2017;Milwaukee Bucks;106,47560975609755;23,23170731707317;39,84146341463415;24,682926829268293;8,75609756097561
196;Washington Wizards;82;43;39;0,524;3971;8742;3275;7018;46,7;814;2173;37,5;1378;1786;77,2;823;2713;3536;2065;1196;645;353;383;1746;1639;48;2017-18;2017;Washington Wizards;106,60975609756098;25,182926829268293;43,1219512195122;26,5;9,926829268292684
197;LA Clippers;82;42;40;0,512;3941;8937;3302;7004;47,1;777;2196;35,4;1556;2095;74,3;832;2766;3598;1832;1204;628;372;462;1638;1803;3;2017-18;2017;LA Clippers;108,98780487804878;22,341463414634145;43,8780487804878;26,78048780487805;9,475609756097562
198;Detroit Pistons;82;39;43;0,476;3961;8509;3208;7129;45,0;886;2373;37,3;1207;1621;74,5;830;2756;3586;1868;1102;628;317;398;1508;1511;-12;2017-18;2017;Detroit Pistons;103,76829268292683;22,78048780487805;43,73170731707317;28,9390243902439;10,804878048780488
199;Charlotte Hornets;82;36;46;0,439;3956;8874;3197;7106;45,0;824;2233;36,9;1656;2216;74,7;827;2901;3728;1770;1041;559;373;404;1409;1839;21;2017-18;2017;Charlotte Hornets;108,21951219512195;21,585365853658537;45,46341463414634;27,23170731707317;10,048780487804878
200;Los Angeles Lakers;82;35;47;0,427;3981;8862;3338;7248;46,1;822;2384;34,5;1364;1910;71,4;876;2927;3803;1949;1295;633;388;447;1736;1679;-127;2017-18;2017;Los Angeles Lakers;108,07317073170732;23,76829268292683;46,3780487804878;29,073170731707318;10,024390243902438
201;New York Knicks;82;29;53;0,354;3966;8566;3334;7193;46,4;673;1914;35,2;1225;1557;78,7;859;2752;3611;1912;1208;552;421;389;1682;1509;-292;2017-18;2017;New York Knicks;104,46341463414635;23,317073170731707;44,03658536585366;23,341463414634145;8,207317073170731
202;Brooklyn Nets;82;28;54;0,341;3971;8741;3136;7114;44,1;1041;2924;35,6;1428;1850;77,2;792;2852;3644;1941;1245;512;390;450;1688;1615;-307;2017-18;2017;Brooklyn Nets;106,59756097560975;23,670731707317074;44,4390243902439;35,65853658536585;12,695121951219512
203;Chicago Bulls;82;27;55;0,329;3971;8440;3170;7285;43,5;906;2549;35,5;1194;1574;75,9;790;2872;3662;1923;1147;626;289;423;1571;1425;-577;2017-18;2017;Chicago Bulls;102,92682926829268;23,451219512195124;44,65853658536585;31,085365853658537;11,048780487804878
204;Sacramento Kings;82;27;55;0,329;3951;8104;3179;7063;45,0;738;1967;37,5;1008;1371;73,5;776;2578;3354;1768;1125;643;340;389;1639;1422;-573;2017-18;2017;Sacramento Kings;98,82926829268293;21,5609756097561;40,90243902439025;23,98780487804878;9,0
205;Orlando Magic;82;25;57;0,305;3946;8479;3182;7042;45,2;844;2405;35,1;1271;1678;75,7;722;2692;3414;1921;1192;622;400;402;1579;1556;-395;2017-18;2017;Orlando Magic;103,40243902439025;23,426829268292682;41,63414634146341;29,329268292682926;10,292682926829269
206;Atlanta Hawks;82;24;58;0,293;3941;8475;3130;7015;44,6;917;2544;36,0;1298;1654;78,5;743;2693;3436;1946;1274;638;348;453;1606;1661;-447;2017-18;2017;Atlanta Hawks;103,35365853658537;23,73170731707317;41,90243902439025;31,024390243902438;11,182926829268293
207;Dallas Mavericks;82;24;58;0,293;3961;8390;3128;7042;44,4;967;2688;36,0;1167;1530;76,3;666;2717;3383;1858;1007;578;310;369;1578;1604;-249;2017-18;2017;Dallas Mavericks;102,3170731707317;22,658536585365855;41,25609756097561;32,78048780487805;11,792682926829269
208;Memphis Grizzlies;82;22;60;0,268;3941;8145;3013;6788;44,4;758;2152;35,2;1361;1732;78,6;779;2544;3323;1767;1227;613;396;421;1900;1674;-509;2017-18;2017;Memphis Grizzlies;99,32926829268293;21,548780487804876;40,52439024390244;26,24390243902439;9,24390243902439
209;Phoenix Suns;82;21;61;0,256;3941;8522;3153;7141;44,2;763;2286;33,4;1453;1962;74,1;842;2776;3618;1743;1289;569;370;488;1807;1715;-768;2017-18;2017;Phoenix Suns;103,92682926829268;21,25609756097561;44,1219512195122;27,878048780487806;9,304878048780488
210;Golden State Warriors;82;67;15;0,817;3956;9503;3532;7140;49,5;982;2562;38,3;1457;1850;78,8;770;2873;3643;2491;1211;785;555;313;1585;1588;954;2016-17;2016;Golden State Warriors;115,89024390243902;30,378048780487806;44,426829268292686;31,24390243902439;11,975609756097562
211;San Antonio Spurs;82;61;21;0,744;3961;8637;3222;6864;46,9;753;1927;39,1;1440;1806;79,7;821;2777;3598;1954;1101;655;484;333;1498;1623;590;2016-17;2016;San Antonio Spurs;105,32926829268293;23,829268292682926;43,8780487804878;23,5;9,182926829268293
212;Houston Rockets;82;55;27;0,671;3956;9458;3305;7152;46,2;1181;3306;35,7;1667;2177;76,6;892;2746;3638;2070;1240;670;352;409;1634;1674;473;2016-17;2016;Houston Rockets;115,34146341463415;25,24390243902439;44,36585365853659;40,31707317073171;14,402439024390244
213;Boston Celtics;82;53;29;0,646;3951;8857;3168;6977;45,4;985;2741;35,9;1536;1903;80,7;743;2698;3441;2069;1088;617;340;425;1686;1664;216;2016-17;2016;Boston Celtics;108,01219512195122;25,23170731707317;41,96341463414634;33,426829268292686;12,012195121951219
214;Cleveland Cavaliers;82;51;31;0,622;3976;9048;3275;6963;47,0;1067;2779;38,4;1431;1913;74,8;766;2821;3587;1858;1121;539;327;349;1486;1690;261;2016-17;2016;Cleveland Cavaliers;110,34146341463415;22,658536585365855;43,74390243902439;33,890243902439025;13,012195121951219
215;LA Clippers;82;51;31;0,622;3951;8911;3242;6820;47,5;841;2245;37,5;1586;2128;74,5;738;2790;3528;1848;1062;612;347;258;1626;1835;352;2016-17;2016;LA Clippers;108,67073170731707;22,536585365853657;43,02439024390244;27,378048780487806;10,25609756097561
216;Toronto Raptors;82;51;31;0,622;3956;8762;3211;6918;46,4;725;1996;36,3;1615;2028;79,6;871;2676;3547;1517;1041;677;400;392;1708;1666;345;2016-17;2016;Toronto Raptors;106,85365853658537;18,5;43,25609756097561;24,341463414634145;8,841463414634147
217;Utah Jazz;82;51;31;0,622;3951;8258;3033;6515;46,6;791;2128;37,2;1401;1875;74,7;771;2774;3545;1651;1118;550;410;312;1545;1655;323;2016-17;2016;Utah Jazz;100,70731707317073;20,134146341463413;43,23170731707317;25,951219512195124;9,646341463414634
218;Washington Wizards;82;49;33;0,598;3971;8953;3388;7137;47,5;756;2030;37,2;1421;1812;78,4;843;2671;3514;1956;1162;693;336;377;1745;1621;148;2016-17;2016;Washington Wizards;109,1829268292683;23,853658536585368;42,853658536585364;24,75609756097561;9,21951219512195
219;Oklahoma City Thunder;82;47;35;0,573;3961;8741;3237;7169;45,2;692;2116;32,7;1575;2113;74,5;1002;2821;3823;1721;1230;648;408;450;1715;1697;62;2016-17;2016;Oklahoma City Thunder;106,59756097560975;20,98780487804878;46,6219512195122;25,804878048780488;8,439024390243903
220;Atlanta Hawks;82;43;39;0,524;3976;8459;3123;6918;45,1;729;2137;34,1;1484;2039;72,8;842;2793;3635;1938;1294;672;397;424;1491;1768;-70;2016-17;2016;Atlanta Hawks;103,15853658536585;23,634146341463413;44,329268292682926;26,0609756097561;8,890243902439025
221;Memphis Grizzlies;82;43;39;0,524;3981;8239;2984;6854;43,5;767;2169;35,4;1504;1918;78,4;886;2621;3507;1744;1059;653;344;410;1840;1708;40;2016-17;2016;Memphis Grizzlies;100,47560975609755;21,26829268292683;42,76829268292683;26,451219512195124;9,353658536585366
222;Indiana Pacers;82;42;40;0,512;3971;8618;3221;6931;46,5;709;1885;37,6;1467;1811;81,0;742;2702;3444;1844;1130;669;409;407;1597;1599;-18;2016-17;2016;Indiana Pacers;105,09756097560975;22,48780487804878;42,0;22,98780487804878;8,646341463414634
223;Milwaukee Bucks;82;42;40;0,512;3956;8497;3182;6715;47,4;720;1946;37,0;1413;1839;76,8;723;2589;3312;1984;1145;666;436;375;1660;1579;-15;2016-17;2016;Milwaukee Bucks;103,6219512195122;24,195121951219512;40,390243902439025;23,73170731707317;8,78048780487805
224;Chicago Bulls;82;41;41;0,5;3956;8435;3169;7141;44,4;623;1831;34,0;1474;1848;79,8;999;2797;3796;1851;1112;643;393;378;1455;1541;35;2016-17;2016;Chicago Bulls;102,86585365853658;22,573170731707318;46,292682926829265;22,329268292682926;7,597560975609756
225;Miami Heat;82;41;41;0,5;3956;8460;3202;7037;45,5;808;2213;36,5;1248;1768;70,6;872;2705;3577;1742;1102;588;469;398;1680;1530;87;2016-17;2016;Miami Heat;103,17073170731707;21,24390243902439;43,6219512195122;26,98780487804878;9,853658536585366
226;Portland Trail Blazers;82;41;41;0,5;3986;8851;3243;7059;45,9;852;2272;37,5;1513;1940;78,0;830;2750;3580;1733;1126;574;408;431;1736;1624;-43;2016-17;2016;Portland Trail Blazers;107,9390243902439;21,134146341463413;43,65853658536585;27,70731707317073;10,390243902439025
227;Denver Nuggets;82;40;42;0,488;3951;9161;3377;7194;46,9;870;2365;36,8;1537;1986;77,4;966;2837;3803;2077;1226;568;323;404;1567;1653;42;2016-17;2016;Denver Nuggets;111,71951219512195;25,329268292682926;46,3780487804878;28,841463414634145;10,609756097560975
228;Detroit Pistons;82;37;45;0,451;3961;8309;3269;7282;44,9;631;1915;33,0;1140;1586;71,9;908;2838;3746;1732;973;574;310;339;1467;1434;-92;2016-17;2016;Detroit Pistons;101,32926829268293;21,121951219512194;45,68292682926829;23,353658536585368;7,695121951219512
229;Charlotte Hornets;82;36;46;0,439;3966;8601;3093;7000;44,2;824;2347;35,1;1591;1953;81,5;721;2853;3574;1891;942;571;390;450;1360;1631;16;2016-17;2016;Charlotte Hornets;104,89024390243902;23,0609756097561;43,58536585365854;28,621951219512194;10,048780487804878
230;New Orleans Pelicans;82;34;48;0,415;3981;8556;3210;7130;45,0;768;2196;35,0;1368;1825;75,0;703;2879;3582;1869;1054;638;453;348;1490;1581;-172;2016-17;2016;New Orleans Pelicans;104,34146341463415;22,79268292682927;43,68292682926829;26,78048780487805;9,365853658536585
231;Dallas Mavericks;82;33;49;0,402;3956;8029;2968;6750;44,0;878;2473;35,5;1215;1516;80,1;647;2516;3163;1705;972;614;307;280;1567;1591;-240;2016-17;2016;Dallas Mavericks;97,91463414634147;20,79268292682927;38,573170731707314;30,158536585365855;10,707317073170731
232;Sacramento Kings;82;32;50;0,39;3976;8430;3105;6734;46,1;737;1960;37,6;1483;1913;77,5;715;2652;3367;1844;1201;627;324;420;1667;1646;-318;2016-17;2016;Sacramento Kings;102,8048780487805;22,48780487804878;41,0609756097561;23,902439024390244;8,987804878048781
233;Minnesota Timberwolves;82;31;51;0,378;3961;8657;3235;6922;46,7;601;1723;34,9;1586;1986;79,9;938;2540;3478;1940;1150;654;370;413;1646;1681;-91;2016-17;2016;Minnesota Timberwolves;105,57317073170732;23,658536585365855;42,41463414634146;21,01219512195122;7,329268292682927
234;New York Knicks;82;31;51;0,378;3971;8556;3244;7256;44,7;704;2022;34,8;1364;1731;78,8;983;2723;3706;1786;1139;581;455;377;1668;1516;-301;2016-17;2016;New York Knicks;104,34146341463415;21,78048780487805;45,19512195121951;24,658536585365855;8,585365853658537
235;Orlando Magic;82;29;53;0,354;3961;8288;3139;7133;44,0;701;2139;32,8;1309;1753;74,7;807;2734;3541;1820;1091;580;396;419;1584;1532;-539;2016-17;2016;Orlando Magic;101,07317073170732;22,195121951219512;43,18292682926829;26,085365853658537;8,548780487804878
236;Philadelphia 76ers;82;28;54;0,341;3966;8400;3088;6992;44,2;831;2443;34,0;1393;1806;77,1;807;2706;3513;1949;1366;692;420;446;1793;1610;-467;2016-17;2016;Philadelphia 76ers;102,4390243902439;23,76829268292683;42,84146341463415;29,79268292682927;10,134146341463415
237;Los Angeles Lakers;82;26;56;0,317;3941;8575;3224;7164;45,0;730;2110;34,6;1397;1853;75,4;933;2636;3569;1716;1243;674;320;440;1698;1520;-564;2016-17;2016;Los Angeles Lakers;104,57317073170732;20,926829268292682;43,52439024390244;25,73170731707317;8,902439024390244
238;Phoenix Suns;82;24;58;0,293;3966;8831;3270;7260;45,0;615;1854;33,2;1676;2159;77,6;976;2712;3688;1604;1265;673;399;435;2030;1822;-462;2016-17;2016;Phoenix Suns;107,6951219512195;19,5609756097561;44,97560975609756;22,609756097560975;7,5
239;Brooklyn Nets;82;20;62;0,244;3951;8673;3102;6987;44,4;877;2591;33,8;1592;2020;78,8;721;2879;3600;1756;1356;593;387;457;1726;1671;-552;2016-17;2016;Brooklyn Nets;105,76829268292683;21,414634146341463;43,90243902439025;31,597560975609756;10,695121951219512
240;Golden State Warriors;82;73;9;0,89;3976;9421;3489;7159;48,7;1077;2592;41,6;1366;1790;76,3;816;2972;3788;2373;1245;689;498;336;1701;1627;882;2015-16;2015;Golden State Warriors;114,89024390243902;28,9390243902439;46,19512195121951;31,609756097560975;13,134146341463415
241;San Antonio Spurs;82;67;15;0,817;3941;8490;3289;6797;48,4;570;1518;37,5;1342;1672;80,3;770;2831;3601;2010;1071;677;485;317;1433;1597;872;2015-16;2015;San Antonio Spurs;103,53658536585365;24,51219512195122;43,91463414634146;18,51219512195122;6,951219512195122
242;Cleveland Cavaliers;82;57;25;0,695;3971;8555;3171;6888;46,0;880;2428;36,2;1333;1783;74,8;873;2777;3650;1861;1114;551;317;362;1666;1690;492;2015-16;2015;Cleveland Cavaliers;104,32926829268293;22,695121951219512;44,51219512195122;29,609756097560975;10,731707317073171
243;Toronto Raptors;82;56;26;0,683;3956;8422;3006;6669;45,1;708;1915;37,0;1702;2190;77,7;836;2724;3560;1536;1073;636;449;442;1610;1801;369;2015-16;2015;Toronto Raptors;102,70731707317073;18,73170731707317;43,41463414634146;23,353658536585368;8,634146341463415
244;Oklahoma City Thunder;82;55;27;0,671;3966;9038;3372;7082;47,6;678;1945;34,9;1616;2067;78,2;1071;2916;3987;1883;1305;603;487;373;1691;1653;597;2015-16;2015;Oklahoma City Thunder;110,21951219512195;22,963414634146343;48,6219512195122;23,71951219512195;8,268292682926829
245;LA Clippers;82;53;29;0,646;3966;8569;3141;6759;46,5;797;2190;36,4;1490;2152;69,2;721;2727;3448;1873;1063;709;460;259;1746;1842;351;2015-16;2015;LA Clippers;104,5;22,841463414634145;42,048780487804876;26,70731707317073;9,71951219512195
246;Atlanta Hawks;82;48;34;0,585;3966;8433;3168;6923;45,8;815;2326;35,0;1282;1638;78,3;679;2772;3451;2100;1226;747;486;411;1570;1500;296;2015-16;2015;Atlanta Hawks;102,84146341463415;25,609756097560975;42,08536585365854;28,365853658536587;9,939024390243903
247;Boston Celtics;82;48;34;0,585;3956;8669;3216;7318;43,9;717;2142;33,5;1520;1929;78,8;950;2733;3683;1981;1127;752;348;450;1796;1718;263;2015-16;2015;Boston Celtics;105,71951219512195;24,158536585365855;44,91463414634146;26,121951219512194;8,74390243902439
248;Charlotte Hornets;82;48;34;0,585;3971;8479;3036;6922;43,9;873;2410;36,2;1534;1941;79,0;734;2869;3603;1778;1029;595;438;448;1487;1670;223;2015-16;2015;Charlotte Hornets;103,40243902439025;21,682926829268293;43,9390243902439;29,390243902439025;10,646341463414634
249;Miami Heat;82;48;34;0,585;3966;8204;3150;6697;47,0;498;1480;33,6;1406;1889;74,4;807;2811;3618;1709;1155;553;531;337;1502;1608;135;2015-16;2015;Miami Heat;100,04878048780488;20,841463414634145;44,1219512195122;18,048780487804876;6,073170731707317
250;Indiana Pacers;82;45;37;0,549;3976;8377;3142;6985;45,0;663;1889;35,1;1430;1872;76,4;847;2779;3626;1741;1219;742;391;366;1641;1676;140;2015-16;2015;Indiana Pacers;102,15853658536585;21,23170731707317;44,21951219512195;23,036585365853657;8,085365853658537
251;Detroit Pistons;82;44;38;0,537;3976;8361;3111;7087;43,9;740;2148;34,5;1399;2095;66,8;1021;2777;3798;1594;1110;573;304;366;1557;1773;50;2015-16;2015;Detroit Pistons;101,96341463414635;19,4390243902439;46,31707317073171;26,195121951219512;9,024390243902438
252;Portland Trail Blazers;82;44;38;0,537;3961;8622;3167;7040;45,0;864;2336;37,0;1424;1889;75,4;948;2782;3730;1748;1200;562;380;424;1782;1597;68;2015-16;2015;Portland Trail Blazers;105,14634146341463;21,317073170731707;45,48780487804878;28,48780487804878;10,536585365853659
253;Chicago Bulls;82;42;40;0,512;3981;8335;3165;7170;44,1;651;1753;37,1;1354;1720;78,7;907;2889;3796;1870;1141;495;470;465;1545;1535;-121;2015-16;2015;Chicago Bulls;101,64634146341463;22,804878048780488;46,292682926829265;21,378048780487806;7,939024390243903
254;Dallas Mavericks;82;42;40;0,512;4001;8388;3064;6900;44,4;806;2342;34,4;1454;1831;79,4;751;2781;3532;1813;1047;560;306;363;1595;1757;-25;2015-16;2015;Dallas Mavericks;102,29268292682927;22,109756097560975;43,073170731707314;28,5609756097561;9,829268292682928
255;Memphis Grizzlies;82;42;40;0,512;3966;8126;3019;6859;44,0;504;1521;33,1;1584;2024;78,3;916;2497;3413;1697;1090;724;350;469;1783;1732;-184;2015-16;2015;Memphis Grizzlies;99,09756097560975;20,695121951219512;41,6219512195122;18,548780487804876;6,146341463414634
256;Houston Rockets;82;41;41;0,5;3966;8737;3094;6847;45,2;878;2533;34,7;1671;2407;69,4;930;2601;3531;1821;1307;821;430;404;1790;1847;16;2015-16;2015;Houston Rockets;106,54878048780488;22,20731707317073;43,0609756097561;30,890243902439025;10,707317073170731
257;Washington Wizards;82;41;41;0,5;3951;8534;3238;7033;46,0;709;1983;35,8;1349;1849;73,0;743;2688;3431;2005;1186;708;323;356;1708;1651;-41;2015-16;2015;Washington Wizards;104,07317073170732;24,451219512195124;41,84146341463415;24,182926829268293;8,646341463414634
258;Utah Jazz;82;40;42;0,488;3991;8010;2957;6593;44,9;694;1956;35,5;1402;1885;74,4;880;2665;3545;1554;1224;631;425;385;1655;1629;147;2015-16;2015;Utah Jazz;97,6829268292683;18,951219512195124;43,23170731707317;23,853658536585368;8,463414634146341
259;Orlando Magic;82;35;47;0,427;3981;8369;3242;7120;45,5;636;1818;35,0;1249;1649;75,7;843;2709;3552;1933;1155;673;417;448;1701;1497;-133;2015-16;2015;Orlando Magic;102,0609756097561;23,573170731707318;43,31707317073171;22,170731707317074;7,7560975609756095
260;Denver Nuggets;82;33;49;0,402;3966;8355;3093;7003;44,2;656;1943;33,8;1513;1974;76,6;941;2718;3659;1858;1202;609;395;517;1723;1712;-254;2015-16;2015;Denver Nuggets;101,89024390243902;22,658536585365855;44,6219512195122;23,695121951219512;8,0
261;Milwaukee Bucks;82;33;49;0,402;3966;8122;3145;6740;46,7;440;1277;34,5;1392;1863;74,7;858;2559;3417;1895;1247;672;475;462;1695;1600;-343;2015-16;2015;Milwaukee Bucks;99,04878048780488;23,109756097560975;41,670731707317074;15,573170731707316;5,365853658536586
262;Sacramento Kings;82;33;49;0,402;3961;8740;3283;7083;46,4;660;1839;35,9;1514;2089;72,5;868;2760;3628;2009;1326;733;368;437;1676;1800;-203;2015-16;2015;Sacramento Kings;106,58536585365853;24,5;44,24390243902439;22,426829268292682;8,048780487804878
263;New York Knicks;82;32;50;0,39;3961;8065;3022;6886;43,9;610;1762;34,6;1411;1753;80,5;850;2788;3638;1682;1099;467;466;343;1616;1520;-224;2015-16;2015;New York Knicks;98,35365853658537;20,51219512195122;44,36585365853659;21,48780487804878;7,439024390243903
264;New Orleans Pelicans;82;30;52;0,366;3956;8423;3153;7040;44,8;702;1951;36,0;1415;1823;77,6;782;2712;3494;1818;1102;633;342;423;1713;1630;-311;2015-16;2015;New Orleans Pelicans;102,71951219512195;22,170731707317074;42,609756097560975;23,79268292682927;8,560975609756097
265;Minnesota Timberwolves;82;29;53;0,354;3976;8398;3095;6668;46,4;455;1347;33,8;1753;2213;79,2;821;2587;3408;1916;1231;656;375;427;1696;1768;-290;2015-16;2015;Minnesota Timberwolves;102,41463414634147;23,365853658536587;41,5609756097561;16,426829268292682;5,548780487804878
266;Phoenix Suns;82;23;59;0,28;3941;8271;3051;7018;43,5;738;2118;34,8;1431;1905;75,1;943;2733;3676;1701;1410;632;313;449;1858;1770;-546;2015-16;2015;Phoenix Suns;100,86585365853658;20,74390243902439;44,829268292682926;25,829268292682926;9,0
267;Brooklyn Nets;82;21;61;0,256;3951;8089;3136;6920;45,3;531;1508;35,2;1286;1699;75,7;863;2614;3477;1829;1212;627;332;430;1476;1510;-603;2015-16;2015;Brooklyn Nets;98,64634146341463;22,304878048780488;42,40243902439025;18,390243902439025;6,475609756097561
268;Los Angeles Lakers;82;17;65;0,207;3946;7982;2880;6956;41,4;639;2016;31,7;1583;2028;78,1;878;2645;3523;1478;1124;593;337;458;1662;1573;-784;2015-16;2015;Los Angeles Lakers;97,34146341463415;18,024390243902438;42,96341463414634;24,585365853658537;7,7926829268292686
269;Philadelphia 76ers;82;10;72;0,122;3961;7988;2970;6887;43,1;764;2255;33,9;1284;1850;69,4;777;2605;3382;1765;1343;680;495;466;1780;1571;-839;2015-16;2015;Philadelphia 76ers;97,41463414634147;21,524390243902438;41,24390243902439;27,5;9,317073170731707
270;Golden State Warriors;82;67;15;0,817;3946;9016;3410;7137;47,8;883;2217;39,8;1313;1709;76,8;853;2814;3667;2248;1185;762;496;293;1628;1541;828;2014-15;2014;Golden State Warriors;109,95121951219512;27,414634146341463;44,71951219512195;27,036585365853657;10,768292682926829
271;Atlanta Hawks;82;60;22;0,732;3946;8409;3121;6699;46,6;818;2152;38,0;1349;1735;77,8;715;2611;3326;2111;1167;744;380;404;1457;1611;445;2014-15;2014;Atlanta Hawks;102,54878048780488;25,74390243902439;40,5609756097561;26,24390243902439;9,975609756097562
272;Houston Rockets;82;56;26;0,683;3961;8522;3032;6832;44,4;933;2680;34,8;1525;2133;71,5;958;2624;3582;1820;1366;777;407;437;1803;1730;282;2014-15;2014;Houston Rockets;103,92682926829268;22,195121951219512;43,68292682926829;32,68292682926829;11,378048780487806
273;Los Angeles Clippers;82;56;26;0,683;3946;8751;3228;6830;47,3;827;2202;37,6;1468;2067;71,0;784;2711;3495;2031;1012;640;409;245;1749;1766;540;2014-15;2014;LA Clippers;106,71951219512195;24,76829268292683;42,6219512195122;26,853658536585368;10,085365853658537
274;Memphis Grizzlies;82;55;27;0,671;3981;8062;3097;6763;45,8;423;1246;33,9;1445;1869;77,3;856;2634;3490;1777;1094;700;347;424;1567;1662;266;2014-15;2014;Memphis Grizzlies;98,3170731707317;21,670731707317074;42,5609756097561;15,195121951219512;5,158536585365853
275;San Antonio Spurs;82;55;27;0,671;3991;8461;3208;6854;46,8;677;1847;36,7;1368;1754;78,0;806;2772;3578;2000;1146;657;444;362;1564;1613;508;2014-15;2014;San Antonio Spurs;103,1829268292683;24,390243902439025;43,63414634146341;22,524390243902438;8,25609756097561
276;Cleveland Cavaliers;82;53;29;0,646;3956;8457;3089;6739;45,8;826;2253;36,7;1453;1934;75,1;911;2612;3523;1814;1171;603;340;368;1510;1685;367;2014-15;2014;Cleveland Cavaliers;103,13414634146342;22,121951219512194;42,96341463414634;27,475609756097562;10,073170731707316
